수종	지역	계절	대체수종1	대체수종2	대체수종3
청단풍	대구	봄	복자기	중국단풍	공작단풍
청단풍	부산	가을	복자기	중국단풍	공작단풍
청단풍	대구	가을	복자기	중국단풍	공작단풍
청단풍	광주	여름	복자기	중국단풍	배롱나무
청단풍	서울	가을	복자기	중국단풍	공작단풍
청단풍	부산	여름	배롱나무	산수유	살구나무
청단풍	인천	가을	복자기	중국단풍	공작단풍
청단풍	경기	여름	공작단풍	복자기	중국단풍
청단풍	경남	겨울	중국단풍	복자기	배롱나무
청단풍	경북	여름	배롱나무	산수유	살구나무
청단풍	경기	가을	복자기	중국단풍	공작단풍
청단풍	충남	봄	복자기	중국단풍	공작단풍
청단풍	강원	여름	공작단풍	배롱나무	산수유
청단풍	충남	가을	복자기	계수나무	느티나무
청단풍	강원	가을	복자기	중국단풍	계수나무
청단풍	인천	봄	복자기	중국단풍	공작단풍
청단풍	충북	봄	복자기	공작단풍	홍단풍
청단풍	세종	봄	복자기	중국단풍	공작단풍
청단풍	강원	봄	복자기	매화나무	산수유
청단풍	대구	겨울	복자기	중국단풍	배롱나무
청단풍	부산	겨울	복자기	중국단풍	배롱나무
청단풍	전남	가을	복자기	중국단풍	공작단풍
청단풍	전북	가을	복자기	공작단풍	중국단풍
청단풍	광주	겨울	복자기	공작단풍	배롱나무
청단풍	서울	겨울	복자기	중국단풍	공작단풍
참빗살나무	광주	여름	배롱나무	산수유	살구나무
참빗살나무	인천	봄	화살나무	수수꽃다리	매화나무
참빗살나무	경기	겨울	화살나무	개회나무	자엽안개나무
참빗살나무	서울	겨울	자엽안개나무	화살나무	개회나무
쪽동백	전남	봄	산수유	왕벚나무	이팝나무
중국단풍	서울	봄	복자기	청단풍	공작단풍
중국단풍	경기	봄	복자기	청단풍	공작단풍
중국단풍	전남	봄	복자기	청단풍	매화나무
중국단풍	대구	봄	복자기	청단풍	공작단풍
중국단풍	부산	가을	복자기	청단풍	공작단풍
중국단풍	대구	가을	복자기	청단풍	공작단풍
중국단풍	광주	여름	청단풍	복자기	배롱나무
중국단풍	서울	가을	복자기	청단풍	공작단풍
중국단풍	경기	겨울	청단풍	복자기	공작단풍
중국단풍	인천	가을	복자기	청단풍	공작단풍
중국단풍	경기	여름	청단풍	공작단풍	복자기
중국단풍	충남	봄	복자기	청단풍	공작단풍
중국단풍	경기	가을	복자기	청단풍	공작단풍
중국단풍	강원	가을	복자기	청단풍	계수나무
중국단풍	인천	봄	복자기	청단풍	공작단풍
중국단풍	세종	봄	복자기	청단풍	공작단풍
중국단풍	부산	겨울	청단풍	복자기	배롱나무
중국단풍	전남	가을	복자기	청단풍	공작단풍
중국단풍	경남	겨울	청단풍	복자기	배롱나무
중국단풍	서울	겨울	청단풍	복자기	공작단풍
주목(선주목)	충북	봄	전나무	주목	스트로브잣나무
주목(선주목)	서울	가을	전나무	주목	독일가문비
주목	서울	봄	전나무	선주목	반펜치블루
주목	경기	겨울	전나무	소나무	블루엔젤
주목	울산	겨울	전나무	소나무	블루엔젤
주목	인천	여름	전나무	소나무	소나무(둥근형)
주목	경기	봄	전나무	반펜치블루	선주목
주목	대구	봄	전나무	소나무	스트로브잣나무
주목	대구	가을	전나무	소나무	서양측백
주목	서울	가을	전나무	독일가문비	전나무(젓나무)
주목	인천	가을	전나무	독일가문비	전나무(젓나무)
주목	경기	여름	전나무	소나무	소나무(둥근형)
주목	경기	가을	전나무	독일가문비	전나무(젓나무)
주목	충남	봄	전나무	주목(선주목)	소나무
주목	강원	여름	전나무	소나무	소나무(둥근형)
주목	충남	가을	전나무	소나무	서양측백
주목	강원	가을	전나무	소나무	소나무(둥근형)
주목	인천	봄	전나무	선주목	반펜치블루
주목	강원	봄	전나무	소나무	스트로브잣나무
주목	전북	가을	전나무	소나무	서양측백
주목	광주	겨울	전나무	소나무	서양측백
주목	서울	겨울	전나무	소나무	블루엔젤
종려나무	전남	겨울	오죽	은목서	홍가시나무
종려나무	부산	겨울	대나무	은목서	동백나무
종려나무	광주	겨울	오죽	은목서	동백나무
종려나무	경남	겨울	대나무	은목서	동백나무
좀굴거리나무	전남	겨울	은목서	동백나무	먼나무
전나무(젓나무)	서울	가을	전나무	주목	독일가문비
전나무	서울	봄	주목	선주목	반펜치블루
전나무	경기	겨울	주목	소나무	블루엔젤
전나무	인천	여름	주목	소나무	소나무(둥근형)
전나무	경기	봄	주목	반펜치블루	선주목
전나무	대구	봄	주목	소나무	스트로브잣나무
전나무	대구	가을	주목	소나무	서양측백
전나무	서울	가을	주목	독일가문비	전나무(젓나무)
전나무	인천	가을	주목	독일가문비	전나무(젓나무)
전나무	경기	여름	주목	소나무	소나무(둥근형)
전나무	경남	겨울	주목	소나무	블루엔젤
전나무	경북	여름	소나무	스트로브잣나무	측백나무
